gene_id	chrom	start	end	number_of_cds	gene_name	name_alias
FBgn0032755	2L	19102044	19102909	1	CG17344	FBgn0063745;BcDNA:AT10305
FBgn0263982	2L	19102044	19102909	1	CG43731	
FBgn0000075	2L	19110154	19114110	4	amd	FBgn0032757;CG10501;dopa decarboxylase;X04695;l(2)amd alpha-methyldopa hypersensitive;l(2)amd;fAMD;transcription unit No. 1;l(2)amd[H];l(2)37Bk;CG17345;alpha-methotrexate deficient;alpha methyl dopa;AMD-r;alpha-methyl dopa resistant;DHPAA synthase;alpha methyl dopa-resistant;DHPA synthase;3,4-dihydroxyphenylacetaldehyde synthase
FBgn0002036	2L	19114401	19116570	2	CG10561	FBgn0026744;FBgn0026745;FBgn0043051;cs;ORF3;ORF2;ORF1;l(2)37Cs;Cs;TuC1;TU37C2;transcription unit 37C2;C2;transcription unit No. 2;lethal(2)37Cs;anon-37Cc;anon-37Cb;anon-37Cs;TU37C1;anon-37Cd;Anon-37Cs
FBgn0000422	2L	19116483	19120306	6	Ddc	FBgn0022245;Dopa decarboxylase;dopa decarboxylase;DDC;CG10697;ddc;AADC;5-HT;fDDC;DdcDm;transcription unit No. 3;l(2)k02104;l(2)37Ch;l(2)37Bl;dopadecarboxylase;Dopadecarboxylase;DOPA decarboxylase;Dopa Decarboxylase;dopa-decarboxylase;3,4-Dihydroxyphenylalanine decarboxylase;aromatic L-amino acid decarboxylase;dopamine decarboxylase;L-3,4-dihydroxyphenylalanine decarboxylase;L-dopa decarboxylase
FBgn0002031	2L	19121345	19123869	6	l(2)37Cc	FBgn0032758;CG10691;Cc;l(2)Cc;transcription unit No. 4;fs(2)HH32;l (2) 37Cc
FBgn0086444	2L	19123998	19126976	4	l(2)37Cb	FBgn0002030;FBgn0032759;CG10689;Cb;l(2)E104;cg10689
FBgn0086445	2L	19127260	19129326	4	l(2)37Cd	FBgn0002032;FBgn0032760;CG10563;Cd
FBgn0086443	2L	19129469	19131954	3	AsnRS	FBgn0027092;FBgn0002029;FBgn0028492;l(2)37Ca;CG10687;AsnRS;NRS;Asparaginyl-tRNA synthetase;BcDNA:GH06451;Ca;l(2)E11;l(2)37Ca)E11;lethal (2) 37Ca;Aats-asn
FBgn0086447	2L	19133023	19135233	7	l(2)37Cg	FBgn0002035;FBgn0032762;CG10685;Cg
FBgn0010300	2L	19133816	19179758	6	brat	FBgn0002034;FBgn0004827;FBgn0027355;CG10719;Brat;Brain Tumor;l(2)37Cf;Cf;l(2)E60;l(2)brat;fs(2)ltoPM43;anon-37CDa;E60;Brain tumor;brain tumour;BRAT;lincRNA.S1565;Brain tumour
FBgn0032763	2L	19179749	19181702	3	CG17568	CG17568-RA;CG17568-PA
FBgn0265263	2L	19181965	19182810	2	CG42688	FBgn0261578;FBgn0066992;DMG8-chr2L.34.001;anon-SAGE:Wang-006
FBgn0267726	2L	19183093	19183787	1	CG46059	CR17567;CG17567
FBgn0010097	2L	19183863	19185726	5	gammaTub37C	FBgn0001003;gamma-tubulin;GTU88*;gamma tubulin;gamma-Tubulin;gammatubulin;gama-tubulin;gamma-Tub;gamma-Tub37C;Rb1011;fs(2)TW1;g-Tubulin;gammaTUB;maternal gamma-tubulin;CG17566;D.m.GAMMA-37C;gammaTub37CD;gamma Tub37CD;gammaTUB37C;PL10;TW1;gamma-tubulin-2;fsTW1;gamma[mat];fs(2)TWI;gammaTub37C;female sterile(2)Ted Wright 1;gamma Tubulin2;gammaTub2;gamma-tubulin (37C);gammatub;gammaTub;tubulin;gammaTubulin;gamma-tubulin37C;37CD gamma-tubulin;Gamma Tubulin at 37C;gamma-tub37CD;gamma-tub37C;gammaTub37c;Tub3B;gamma-tub;&ggr-Tubulin 37C;Tub37C
FBgn0010309	2L	19186043	19189938	9	pigeon	lionette;lio;pio;linotte;CG10739
FBgn0015380	2L	19190342	19208621	5	drl	FBgn0032764;FBgn0032765;derailed;Drl;linotte;lionette;lio;DRL;lin;lio/drl;CG17348;CG10758;Derailed
FBgn0051797	2L	19259432	19262240	1	CG31797	FBgn0032766;FBgn0032767;CT35089;CG15176;CG15175
FBgn0032768	2L	19298345	19299933	4	CG17564	
FBgn0032769	2L	19300255	19301600	8	CG10750	
FBgn0024245	2L	19338669	19363227	8	dnt	Doughnut;doughnut;CG17559;Doughnut on 2;DNT
FBgn0032770	2L	19364375	19365470	6	CG13086	
FBgn0032771	2L	19370445	19372711	4	CG17349	FBgn0044669;anon-WO0140519.204
FBgn0032772	2L	19380930	19383093	4	CG17350	
FBgn0032773	2L	19383138	19386205	19	fon	CG15825;Fondue;Fon;Gpdhdue;FON
FBgn0032774	2L	19387050	19390075	22	CG17549	
FBgn0032775	2L	19390370	19398493	10	CG17544	
FBgn0051798	2L	19394160	19396190	6	CG31798	FBgn0044689;anon-WO0140519.187
FBgn0041789	2L	19400753	19426596	50	Pax	FBgn0032776;FBgn0032777;FBgn0051794;CG31794-RC;CG31794-PC;CG31794-RF;CG31794-PF;CG31794-RB;CG31794-PB;CG31794-RA;CG31794-PA;CG31794-RD;CG31794-PD;CG31794-RE;CG31794-PE;paxillin;CG31794;DPxn;DPaxillin;Paxillin-derived LIM-only protein;DPxn37;paxillin-derived LIM-only protein;PDLP;CG18576;Dpax;CT42454;CT40481;CG18061;pax;D-Paxillin;DpaxA;dPax;Pax-derived LIM only protein;Paxillin;Paxilin;Pxn;PAX
FBgn0032780	2L	19424050	19430270	2	CG13085	FBXO3
FBgn0032779	2L	19424050	19429224	1	Alp12	CG16771
FBgn0032781	2L	19430643	19432444	2	RtcB	CG9987;RtcB-like;Rtcb
FBgn0032782	2L	19432574	19435841	3	Rab9	146494_at;DmRab9;CG9994;rab9
FBgn0032783	2L	19435850	19442727	19	CG10237	
FBgn0003346	2L	19441959	19447317	7	RanGAP	Sd;SD;Segregation distorter;dRanGAP;rangap;CG9999;RanGAP;ranGAP;Scl;CT28175;Rangap;Sd-RanGAP;Ran;Sd-RanGap;RanGap1;Segregation Distorter;ranGap;RanGap;Ran GTPase Activating Protein;RGP1_DROME;Ran-GTPase activating protein
FBgn0024230	2L	19442833	19444750	5	Hs2st	FBgn0032784;HS2ST;DmHs2st;dHS2ST;heparan-sulfate-2-sulfotransferase;CG10234;HS 2-O;dmHS-2OST;dmHs2st;Hs2st;heparan sulfate 2-O-sulfotransferase;2-O sulfotransferase;Hs2st-2
FBgn0284220	2L	19447365	19453490	8	Top2	FBgn0003732;FBgn0061478;suo;CG10223;TopoII;Topoisomerase II;TOP2;topoisomerase II;type II topoisomerase;type II DNA topoisomerase;topoII;topo II;dTopoII;CHRAC;TOPOII;top2;dCHRAC;Topo II;TopII;DNA topoisomerase II;TOPO II;Top 2;DNA Topoisomeriase II;Topoisomerase2;solofuso;DNA Topoisomerase II;topo 2;topoisomerase 2;dmTopoII
FBgn0032785	2L	19454256	19457723	16	CG10026	
FBgn0000964	2L	19464267	19467758	2	tj	FBgn0020276;FBgn0032786;maf-L;CG10034;Dmaf;PL3;maf1;female sterile(2)eo2;fs(2)eoPL3;fs(2)eo2;fs(2)eo-B;Tj;Traffic jam;Traffic Jam;Traffic-jam;TJ;Traffic-Jam;DM13
FBgn0032787	2L	19482232	19484705	12	CG10195	
FBgn0032788	2L	19484930	19486532	2	CG13084	
FBgn0032789	2L	19487490	19488691	2	CG13083	
FBgn0032790	2L	19488682	19490104	4	CG10194	
FBgn0032791	2L	19490262	19491679	4	CG18094	FBgn0032792;CG10048
FBgn0032793	2L	19491647	19493253	2	CG10189	i180;i199
FBgn0002044	2L	19493251	19497978	8	swm	FBgn0019934;FBgn0032794;CG10084;S(Rux)2B;S(rux)2B;l(2)37Dh;E1;l(2)E1;lethal (2) 37Dh;EC2-10;Swm
FBgn0040268	2L	19498168	19502268	4	Top3alpha	FBgn0032795;DmTop3alpha;Topoisomerase IIIa;Top3a;dTopoIIIa;Topoisomerase IIIalpha;CG10123;Topo IIIalpha;topoisomerase IIIalpha;Topoisomerase3alpha;top3alpha;topo IIIalpha;Topoisomerase 3-alpha;Top 3alpha;Top3alpha;topoisomerase 3alpha
FBgn0032796	2L	19502335	19508764	5	CG10188	
FBgn0032797	2L	19508953	19517204	20	Hasp	FBgn0027734;CT28647;anon-EST:Posey189;CG10186;hasp
FBgn0032798	2L	19518824	19525453	18	CG10132	
FBgn0032799	2L	19525434	19526368	3	CG10166	Dol-P-ManTase;Dolichol-phosphate mannosyltransferase;dDPM
FBgn0032800	2L	19526686	19532985	8	CG10137	
FBgn0032801	2L	19526910	19530305	10	CG10165	
FBgn0053116	2L	19533479	19537363	5	CG33116	FBgn0032802;CG10355;dCCS1
FBgn0051697	2L	19535448	19536104	1	CG31697	FBgn0032802;CG10355
FBgn0032803	2L	19538425	19539740	1	CG13082	
FBgn0032804	2L	19540607	19541540	4	CG13081	
FBgn0003231	2L	19542468	19545548	4	ref(2)P	Ref(2)P;Ref2P;Ref(2)p;ref2p;ref(2)p;ref(2)Po2;ref(2)Pn;refractaire;ref;refractaire(2)Paris;CG10360;p62;sequestosome;SQSTM1;sequestosome-1;Ref2;refractory to Sigma P;p63;p62/Ref(2)P;Ref(2)P/p62;Ref2p;dP62
FBgn0032805	2L	19545376	19546959	3	CG10337	
FBgn0041180	2L	19548507	19556451	16	Tep4	FBgn0032806;Tep4;TepIV;CG10363;CT29102;dTEPIV;TEP IV;TEP;TEP4mel;tep4;TEP4;Thiolester containing protein IV;tepIV;TEPIV;Tep IV;Thioester containing protein IV;Thioester-containing protein4
FBgn0264845	2L	19558047	19563049	8	Tep5	FBgn0032808;FBgn0032807;FBgn0041179;CG13079;TEP5mel;CG13080;dTEPV;Thiolester containing protein V;TepV;TEP
FBgn0032809	2L	19563930	19565158	1	CG13078	
FBgn0032810	2L	19565863	19567359	6	CG13077	
FBgn0005672	2L	19567900	19577315	2	spi	FBgn0002048;FBgn0003474;FBgn0010472;FBgn0010690;FBgn0062206;CG10334;EP(2)2378;CT29014;Spitz;l(2)01068;Spi;l(2)s3547;l(2)37Fa;anon-WO0118547.158;s-spi;sSpi;epidermal growth factor protein
FBgn0027949	2L	19577701	19579131	2	msb1l	msh1l;CG10364;Msb1l
FBgn0032811	2L	19579093	19580351	2	CG10268	FBgn0062883;BcDNA:SD12705;MevPK
FBgn0032812	2L	19580612	19582474	6	Hakai	CG10263-RA;CG10263-PA;CG10263-RC;CG10263-PC;CG10263-RD;CG10263-PD;CG10263;hakai
FBgn0032813	2L	19582823	19583990	2	PCNA2	PCNA2;DmPCNA2;CG10262
FBgn0032814	2L	19584235	19586440	3	CG10366	
FBgn0000464	2L	19586623	19732069	86	Lar	FBgn0010057;bypass;Dlar;LAR;DLAR;dlar;DLar;CG10443;PTP38A;Leukocyte-Antigen-Related-Like;lar;leukocyte-antigen-related-like;LAR receptor tyrosine phosphatase;Ptp38A;leukocyte- antigen-related-like
FBgn0267964	2L	19606569	19731561	1	CG46244	Dm_2L:103252
FBgn0005590	2L	19699379	19700968	2	scw	FBgn0002053;FBgn0003343;FBgn0046219;FBgn0051695;Scw;l(2)37Ff;CG31695;l(2)IG76;BcDNA:LD30945;Screw;SCW;mor2;morphological defects 2
FBgn0032815	2L	19732080	19735980	34	CG10462	FBgn0062418;CG10462-RA;CG10462-PA;BcDNA:SD07008
FBgn0032817	2L	19742817	19756904	8	CG10631	
FBgn0032818	2L	19757245	19758615	3	CG10628	
FBgn0032819	2L	19758879	19760986	4	CG10463	
FBgn0032820	2L	19761587	19764136	6	fbp	FBgn0051692;FbPase;CG10611;CG31692
FBgn0000529	2L	19765776	19769067	8	bsh	FBgn0010392;CG10604-RA;CG10604-PA;CG10604-RB;CG10604-PB;Bsh;lambdaE86;E86;Hox11-310;CG10604;BSH;brain specific homeobox;Brain-specific homeobox
FBgn0032821	2L	19774874	19791882	20	CdGAPr	CdGAPr;CG10538;10538;d-CdGAPr;GAP;cdGAPr;FBgn 32821
FBgn0032822	2L	19792104	19792782	4	CG10466	FBgn0044613;cg10466;anon-WO0140519.255
FBgn0004811	2L	19792773	19795851	6	fs(2)ltoPP43	FBgn0026579;FBgn0032823;CG10528;l(2)38Ac;LD12957;BEST:LD12957
FBgn0263873	2L	19796365	19958424	86	sick	CG13964;CG33316;CG10662;CG34343;CG42589;FBgn0260966;FBgn0085372;FBgn0032830;FBgn0053316;FBgn0032828;FBgn0032832;FBgn0032826;FBgn0032831;CG13958;FBgn0032825;CG43720;sick;CG34343;CG42589;sickie;CG10662;CG13960;CG13961;CG13959;CG33316;CG13964;CG13958;Dm_2L:104545;Sickie
FBgn0032824	2L	19813704	19814532	2	CG13962	
FBgn0032827	2L	19890201	19892550	6	CG10481	
FBgn0044811	2L	19911815	19912377	2	TotF	FBgn0032829;FBgn0051691;tot;CG13963;CG31691;Tot F
FBgn0053117	2L	19912938	19913516	2	Victoria	FBgn0032829;TotE;Turandot E;CG13963;CG33117
FBgn0032833	2L	19958713	19960065	4	COX4	IV;CG10664;Cytochrome c oxidase IV;Cytochrome c oxidase Polypeptide IV;Cytochrome c oxidase Subunit IV;COX IV;cox4;COXIV;COX;Subunit IV;CoxIV;dCOX-IV;CcO IV;CX41;CX42;Cytochrome c oxidase subunit IV;CoIV;cytochrome c oxidase;C-IV s.4;Cox4
FBgn0054051	2L	19960069	19961030	8	CG34051	FBgn0082663;BP1077;HDC03337
FBgn0262140	2L	19961224	19961685	2	CG42866	
FBgn0032834	2L	19961758	19962352	2	CG13965	
FBgn0032835	2L	19962679	19963844	4	CG16772	FBgn0044789;anon-WO0138581.5
FBgn0032836	2L	19964136	19965702	12	CG10680	
FBgn0042129	2L	19965664	19966510	2	OS9	CG18806;OS9
FBgn0014000	2L	19966727	19967685	2	Hf	FBgn0032837;CG10658;DHF;dhf;Os9;Drosophila Helical Factor;Olfactory-specific 9;GH21;helical factor
FBgn0264443	2L	19968684	20017282	10	CG43861	CG13966;FBgn0032838;FBgn0040995;CG12508;CG13966;CG12508
FBgn0032839	2L	20024975	20025811	1	AANATL3	CG10659
FBgn0032840	2L	20027915	20056373	4	sNPF	short neuropeptide F-1;small neuropeptide F-1;sNPF-4;sNPF-3;sNPF-2s;sNPF-2;sNPF-1;Drm-sNPF-AP1;Drm-sNPF;Drm-sNPF-1;sNPF1;Drm-sNPF-4;Drm-sNPF-3;Drm-sNPF-2;38B.2;CG13968;LRLRFamide;snpf;Short NPF;lrlrfa;short neuropeptide F;s-NPF;sNPF3;Short neuropeptide F;precursor of short neuropeptide F;small neuropeptide-F;short NPF;short neuropeptide F1;sNPF precursor;Neuropeptide F (short);LRLRFamides;sNPF-1[4-11];sNPF-2[12-19];Short Neuropeptide F;small neuropeptide F;SNPF;SMALL NEUROPEPTIDE F;sNPF1[1-11];sNPF1[4-11;sNPF2[12-19]
FBgn0014127	2L	20058163	20061370	5	barr	barren;Barren;CAP-H;38B.3;CG10726;CG14684;Barr;Cap-H;dCap-H;CapH
FBgn0019686	2L	20061422	20064381	14	lok	CHK-2;chk2;maternal nuclear kinase;CHK2;chk2/lok;mnk;Chk2;MNK;DmCHk2;chk;Dmchk2;DmChk2;Dmnk;38B.4;LOKI/CHK2;CG10895;Dmnk-S;Dmnk-L;Drosophila maternal nuclear kinase;localized ovarian kinase;loki;Checkpoint kinase 2;checkpoint kinase 2;Dmnk/DChk2;10895;Loki;Lok;chk-2
FBgn0003978	2L	20064261	20065679	3	vls	FBgn0032841;CG10728;Valois;CG107278;38B.5;val;dWD45;Vls
FBgn0045064	2L	20066391	20073719	9	bwa	FBgn0032842;CG13969;38B.6;Brain washing;dacer;brainwashing;Brainwashing
FBgn0032843	2L	20070081	20072195	2	CG10730	38B.7;gi21430366;gi7298655
FBgn0003141	2L	20073719	20075458	4	pr	FBgn0020600;38B.9;anon-38Bb;CG16784;PTPS
FBgn0004374	2L	20075757	20089698	2	neb	FBgn0010543;FBgn0015262;FBgn0019965;FBgn0022079;Kinesin3C;Klp38B;tiovivo;KLP38B;CG10718;Dm0332;38B.12;38B.10;DmKlp38B;l(2)k00802;tio;KLP 38B;Klp38;Kinesin-like protein at 38B;klp38B;KLP-38B;Mothra;Mot;sl(2)ry3;sl(2)ry;l(2)k07614;l(2)03552;Neb;nebb;KIF 14;DmNeb;KIF14;Nebbish
FBgn0263773	2L	20079270	20085070	7	fok	CG10746;FBgn0020303;FBgn0022079;FBgn0032844;CG42849;FBgn0262096;CG43690;38B.11;CG10746;Fok;l(2)k07614;noncoding_3938;CG42849
FBgn0032845	2L	20089636	20091348	4	CG10747	38B.13
FBgn0032846	2L	20091435	20093152	2	Pyroxd1	38B.14;CG10721
FBgn0032847	2L	20093088	20093849	3	Taf13	dTAF[[II]]18;TAF;TFIID;TAF[[II]];TAF[[II]]18;TAF13;38B.15;CG10756;TAF18;TBP-associated factor 18kD;Taf18;TBP-associated factor;taf13
FBgn0032848	2L	20093972	20096253	6	nesd	38B.16;CG10722;Nessun Dorma
FBgn0032849	2L	20096329	20097253	4	mRpS18B	CG10757;38B.17;mitochondrial ribosomal protein S18b;MRP-S18-(2);mRpS18b
FBgn0032850	2L	20097581	20103375	16	Kua	38B.18;CG10723
FBgn0032851	2L	20103386	20104150	1	CG13970	38B.19
FBgn0032853	2L	20133755	20134923	6	CG10651	38C.2
FBgn0259998	2L	20255988	20257192	2	CG17571	FBgn0032947;CG17571-RA;CG17571-PA;FBgn0046673;anon-38C.22;SP83;38C.22
FBgn0260000	2L	20263419	20264424	1	CG17570	FBgn0032948;CG17570-RA;CG17570-PA;FBgn0046671;anon-38C.24;38C.24
FBgn0040996	2L	20294693	20295804	3	CG12617	38C.31
FBgn0003475	2L	20311219	20348386	70	spir	FBgn0029122;FBgn0032854;FBgn0040997;Spire;p150Spir;p150-Spir;38C.37;38C.34;l(2)08327;CG10076;Spir;CG18621;spire;NP2788
FBgn0011638	2L	20348393	20350012	2	La	FBgn0043798;CG10922;D-La;38C.38;ribonucleoprotein La;DLa/SS-B;dmLa;BEST:LD24519
FBgn0015803	2L	20350434	20365254	31	RtGEF	dpix;rhoGEF;38C.40;DrhoGEF;Drosophila rho-type guanine exchange factor;DrtGEF;RhoGEF;Rho/RacGEF;CG10043;ARHGEF7;beta-PIX;Pix;pix;PAK-interacting exchange factor;dPix;rtGEF;betaPIX;rho-type guanine exchange factor
FBgn0026756	2L	20372409	20374083	2	Ugt37A1	FBgn0032855;CG11012;DmUgt37a1;38C.41;DmeUgt37a1;Ugt37a1;UGT37A1;UDP-glycosyltransferase 37a1
FBgn0032856	2L	20376981	20382356	6	CG16798	38C.41
FBgn0032857	2L	20385293	20414800	2	CG10947	38C.42
FBgn0032858	2L	20415173	20416918	4	CG10949	38C.46;CC34
FBgn0032859	2L	20417057	20423027	16	Arpc2	FBgn0062209;ARPC2/p34;ARC-p34;Arpc2;p34;38C.47;CG10954;ARC-P34;anon-WO0118547.154;ArcP34;Arc-p34;ARPC2;Arc-p34/Arpc2
FBgn0032860	2L	20423106	20424660	4	CG15130	38C.48
FBgn0263355	2L	20426199	20447905	17	CG31688	CG11019;FBgn0040998;FBgn0051688;FBgn0032861;FBgn0032862;FBgn0040999;CG11019;38C.52;38C.49;CG18597;CG11017;CG11016;CG31688-PA
FBgn0051683	2L	20447734	20449964	5	CG31683	FBgn0027612;FBgn0063627;BcDNA:GH02384
FBgn0051687	2L	20450225	20456978	4	CG31687	CG31687-PA;Cdc23-like
FBgn0042175	2L	20456847	20459075	5	CG18858	38C.53
FBgn0032863	2L	20459342	20461729	6	Cdc23	CG2508;38C.54;CG2508-PA;cdc23;Apc8;Cdc23;APC8;CDC23;Cell division cycle 23 ortholog;APC8 (cdc23)
FBgn0032864	2L	20461585	20463444	2	CG2493	38C.55;peptidase S28
FBgn0262878	2L	20472793	20473385	4	CG43233	
FBgn0054007	2L	20495030	20495758	3	CG34007	FBgn0082886;BP1020
FBgn0265256	2L	20531066	20531833	2	CG44270	lincRNA.207
FBgn0051677	2L	20603535	20604196	1	CG31677	
FBgn0032867	2L	20614522	20615559	1	CG15475	38D.19
FBgn0032868	2L	20634515	20635167	2	CG17472	FBgn0063232;38D.23;BcDNA:GH20534
FBgn0051680	2L	20640121	20640718	2	CG31680	FBgn0047340;BcDNA:AT19802
FBgn0261058	2L	20640917	20642216	4	Sfp38D	CG42606
FBgn0032869	2L	20642306	20643244	1	CG17470	FBgn0044560;FBgn0045901;38D.25;anon-WO0153538.51;anon-WO0140519.68
FBgn0032870	2L	20645822	20647381	1	CG2608	38D.26
FBgn0042133	2L	20648912	20650079	1	CG18810	
FBgn0032871	2L	20650189	20650898	2	CG2611	38D.27
FBgn0261787	2L	20650755	20656178	10	brun	FBgn0061518;FBgn0032872;CG2478;38D.28;bru;TRAPPC9
FBgn0032873	2L	20656426	20659218	16	CG2614	38D.29
FBgn0051678	2L	20659132	20675941	12	CG31678	FBgn0032874;FBgn0032875;38D.30;CG17466;CG17465
FBgn0086657	2L	20676045	20678979	7	IKKepsilon	FBgn0025164;FBgn0028633;FBgn0043071;l(2)38Ea;lethal (2) 38Ea;apoptoxin 7;APTX7;CG2615;Ik2;Ik2/DmIKK;dIKK;IK2;38D.31;Dmik2;DIK2;dik2;Dik2;IKK;ik2;IkappaB kinase-like 2;IKK-related kinase;DmIKKepsilon;IKKepsilon;ikkepsilon;DmIKKepsilon/dIK2;dIKKepsilon
FBgn0032876	2L	20678921	20681846	2	Cen	38E.1;CG1962;cen;centrocortin
FBgn0032877	2L	20682368	20683629	2	CG2617	38E.2
FBgn0014859	2L	20683462	20714588	9	Hr38	FBgn0010510;DHR38;Dhr38;HR38;38E.7;38E.3;NR4A4;l(2)02306;CG1864;hormone receptor-like in 38;dHR38;hormone receptor 38;hr38;dhr38;hormone receptor-like 38
FBgn0032878	2L	20724209	20726551	3	CG9316	38E.9;FBXL10
FBgn0032879	2L	20727151	20730282	8	CarT	CG9317;38E.10;carT;carcinine transporter;cart;Carcinine Transporter
FBgn0032880	2L	20730416	20734309	6	TM9SF2	38E.10;CG9318;TM9SF2
FBgn0262743	2L	20734609	20750941	20	Fs(2)Ket	FBgn0000986;FBgn0000984;FBgn0000989;FBgn0004812;FBgn0005392;FBgn0086557;Female sterile (2) ketel;impbeta;Ketel;imp-beta;ketel;38E.11;dKap-beta;importin beta;Ket;Hon;fs(2)lto2;Hont;female sterile(2)lto2;fs(2)ltoHD43;fs(2)lo-B;Fs(2)Sz7;Fs(2)Sz6;Fs(2)Hon;CG2637;IMPbeta1;Kpnb1;importin beta1;kettle;importin-beta;DImportin-beta;fs(2) Ketel;Importin beta;Importin-beta;Impbeta;MRE26;mRNA-like ncRNA in embryogenesis 26;fs(2)Ket;Fs(2)ket;Fs(2)Ketel
FBgn0032881	2L	20750934	20752341	3	Amacr	38E.13;CG9319
FBgn0032882	2L	20752476	20754655	4	Ns4	38E.14;ns4;CG9320;dmNS4;NS4;Nucleostemin ortholog 4;nucleostemin 4
FBgn0032883	2L	20754579	20757985	12	Rhau	38E.15;cg9323;CG9323;DmRHAU;DmDHX36
FBgn0011202	2L	20758144	20768053	15	dia	FBgn0022100;Dia;38E.16;CG1768;l(2)k07135;ms(2)04138;Diaphanous;DIA;Dias
FBgn0000251	2L	20770731	20783135	7	cad	FBgn0082204;cd;38E.19;Cad;S67;anon-WO2004063362.83;CG1759;Caudal;CAD;CAUDAL
FBgn0032884	2L	20787656	20789098	3	Pomp	POMP;38E.20;CG9324;pomp;UMP1;20S maturase;maturase;Proteosome maturation protein
FBgn0250785	2L	20788662	20797042	34	vari	FBgn0010560;CG9326-PD;CG9326-RD;CG9326-PC;CG9326-RC;CG9326-PB;CG9326-RB;FBpp0088886;FBtr0089947;FBpp0088885;FBtr0089946;FBpp0088884;FBtr0089945;FBgn0032885;FBgn0025170;CG9326;l(2)03953b;l(2)03953;38E.21;szar;senz-aria;senz'aria;lethal (2) 38EFa;l(2)38EFa;Varicose;Vari
FBgn0032886	2L	20797715	20814331	5	CG9328	FBgn0026591;FBgn0046994;38E.22;LD01639;BEST:LD01639;BcDNA:SD01241
FBgn0053322	2L	20814337	20816240	5	CG33322	FBgn0032887;FBgn0067631;38E.23;CG9329;BcDNA:AT04844
FBgn0067311	2L	20816456	20817270	3	CheB38b	FBgn0032887;FBgn0053321;CG9329;38E.23;CG33321;CheB38b
FBgn0067312	2L	20817815	20818532	3	CheB38a	FBgn0032887;FBgn0053320;CG9329;38E.23;CG33320;CheB38a
FBgn0032888	2L	20820089	20820867	3	CheB38c	CG14405;CheB38c
FBgn0032889	2L	20822828	20827744	31	CG9331	
FBgn0051673	2L	20829609	20831161	6	CG31673	FBgn0032890;FBgn0063161;CG9332;BcDNA:LD14730;CCG31673
FBgn0051674	2L	20831262	20832859	8	CG31674	FBgn0032890;CG9332
FBgn0032891	2L	20832849	20835840	6	Oseg5	CHE-2;OSEG5;CG9333;OSEG;IFT80;Che-2;oseg5;Oseg5
FBgn0028986	2L	20836621	20837985	5	Spn38F	FBgn0032892;CG9334;sp3;serpin 3;Spn3;Sp3;Spn38F;Serine protease inhibitor 3
FBgn0051676	2L	20840750	20849182	6	CG31676	FBgn0032893;FBgn0041001;FBgn0061379;CG14404;CG14403;BcDNA:RH34376
FBgn0032894	2L	20849300	20850987	2	CG14402	FBgn0063750;BcDNA:AT08210
FBgn0032895	2L	20852578	20857113	3	twit	FBgn0063141;BcDNA:LD40063;CG9335
FBgn0032896	2L	20856987	20857891	1	CG14400	CG14400-RA;CG14400-PA
FBgn0032897	2L	20858695	20861014	5	CG9336	FBgn0061388;BcDNA:RE71975
FBgn0032899	2L	20865215	20867709	6	CG9338	FBgn0063264;BcDNA:GH07967
FBgn0051675	2L	20867755	20869650	3	CG31675	FBgn0063687;BcDNA:RE19849
FBgn0032900	2L	20869854	20871565	6	CG14401	
FBgn0032901	2L	20871335	20918931	35	sky	FBgn0032902;FBgn0041002;FBgn0061988;CG9340;CG14399;anon-WO0118547.455;CG9339;Skywalker;Sky
FBgn0263996	2L	20871335	20918931	1	CG43739	Dm_2L:110584
FBgn0266369	2L	20919094	20922876	6	Mtp	FBgn0032904;FBgn0260096;FBgn0260097;microsomal triacylglycerol transfer protein;CG9342;MTP;mtp;CT3751;dMTP;Microsomal triglyceride transfer protein;2L3637;2L4501;microsomal triglyceride transfer protein
FBgn0032906	2L	20924975	20926147	5	RPA2	153194_at;dRPA2;CG9273;replication protein A, subunit 2;RpA2;replication protein A2
FBgn0032907	2L	20926319	20927860	4	CG9272	9272;Nthl1;DNA glycosylase
FBgn0032908	2L	20929456	20934113	7	CG9270	Dme_CG9270
FBgn0250867	2L	20965520	21052164	6	CG42238	CG9266
FBgn0010395	2L	21053033	21058044	12	Itgbn	FBgn0010216;FBgn0025116;beta[nu] integrin;integrin beta v;betanu;betav;Integrin bn;CG1762;CT5192;integrin beta neu;beta[[v]];Beta[[nu]];betaInt[nu];betav integrin;beta[nu]-integrin;integrinbetanu;betaInt-nu;betanu integrin;Fly betanu;betaInt;betaV-integrin;beta-nu;betaInt nu;beta[v]integrin;betanu Integrin;Integrin betanu subunit;Itgbetanu;integrin betanu subunit;betagr;-nu;beta-Integrin-nu;beta[[nu]]Integrin;Integrinbetanu;integrin betanu;betanuintegrin;intbetanu
FBgn0032910	2L	21057706	21071502	18	CG9265	
FBgn0032911	2L	21075405	21081053	10	tadr	CG9264;torn
FBgn0053511	2L	21081127	21082494	3	CG33511	FBgn0032912;CG14398
FBgn0053510	2L	21082643	21084326	3	CG33510	CG14398;FBgn0032912;FBtr0081506;FBpp0081034;CG14398
FBgn0053509	2L	21084605	21086506	3	CG33509	CG14398;FBgn0032912;FBtr0081506;FBpp0081034;CG14398
FBgn0053508	2L	21086790	21088751	7	ppk13	CG14398;FBgn0032912;FBtr0081506;FBpp0081034;CG14398;PPK13;CG33508
FBgn0032913	2L	21089375	21090999	3	CG9259	
