CDS_name	CDS_loc	length	gene_name
lz-PB	X:join(9285921..9286782,9288332..9288571,9293906..9294019,9301970..9302871);	2118	lz
c12.2-PA	X:join(9319492..9319684,9320085..9320512,9320587..9320907,9320967..9321538,9321603..9323714,9323768..9324202,9324260..9324359);	4161	c12.2
c12.2-PB	X:join(9319492..9319684,9319817..9319867,9320085..9320512,9320587..9320907,9320967..9321538,9321603..9323714,9323768..9324202,9324260..9324359);	4212	c12.2
c12.1-PA	X:complement(join(9318280..9318928,9318992..9319122));	780	c12.1
c11.1-PA	X:complement(join(9276125..9276267,9276329..9276431,9276494..9277384,9277449..9277652,9277715..9278189,9278252..9278897,9278956..9281387,9281451..9281628,9282793..9282949));	5229	c11.1
Cfp1-PA	X:complement(join(9270775..9271854,9271916..9272603,9272666..9272889));	1992	Cfp1
Cfp1-PB	X:complement(join(9270775..9271854,9271916..9272603,9272666..9272799,9272860..9272889));	1932	Cfp1
CG17440-PA	X:complement(join(9268506..9268904,9268971..9269514,9269577..9269710,9269771..9269794));	1101	CG17440
Erk7-PA	X:complement(join(9261437..9263012,9263711..9264162,9264232..9264328,9264402..9264542,9264623..9264829,9264893..9265083,9265182..9265268));	2751	Erk7
Erk7-PC	X:complement(join(9263395..9263575,9263711..9264162,9264232..9264328,9264402..9264542,9264623..9264829,9264893..9265083,9265182..9265268));	1356	Erk7
amx-PA	X:complement(9246207..9247061);	855	amx
Ir8a-PA	X:complement(join(9232726..9234753,9234824..9235003,9235793..9236178,9236310..9236459,9236519..9236585));	2811	Ir8a
CG12121-PA	X:complement(join(9229268..9229855,9230179..9230446,9230508..9230641,9230700..9231558,9231621..9231766,9231828..9231938,9232003..9232113));	2217	CG12121
SmydA-9-PA	X:complement(join(9206421..9207071,9209433..9210284));	1503	SmydA
CG12118-PA	X:complement(join(9194919..9195221,9195551..9196102));	855	CG12118
CG12115-PA	X:complement(join(9189379..9190128,9190540..9190581));	792	CG12115
Zpr1-PA	X:complement(join(9160487..9161187,9161302..9161974));	1374	Zpr1
CG9034-PA	X:complement(9159606..9159839);	234	CG9034
Ost48-PA	X:complement(join(9157008..9158215,9158290..9158431));	1350	Ost48
fh-PA	X:complement(join(9148371..9148625,9148695..9149012));	573	fh
fend-PB	X:complement(join(9125244..9125654,9126060..9126302,9127066..9127113,9133940..9134203));	966	fend
Bx42-PA	X:complement(join(9104472..9105331,9105397..9105957,9106225..9106447));	1644	Bx42
CG7766-PA	X:complement(join(9094243..9094348,9094411..9095008,9095066..9095333,9095395..9095651,9096766..9096825,9097355..9097513,9097756..9098007,9098084..9098413,9100513..9100657,9101096..9101419,9101566..9102233,9102495..9103071));	3744	CG7766
CG7766-PB	X:complement(join(9094243..9094348,9094411..9095008,9095066..9095333,9095395..9095651,9096766..9096825,9097355..9097513,9097756..9098007,9098084..9098413,9099314..9099461,9101096..9101419,9101566..9102233,9102495..9103071));	3747	CG7766
CG7766-PG	X:complement(join(9094243..9094348,9094411..9095008,9095066..9095333,9095395..9095975,9097355..9097519,9097756..9098007,9098084..9098413,9099314..9099461,9101096..9101419,9101566..9102233,9102495..9103071));	4017	CG7766
CG7766-PH	X:complement(join(9094243..9094348,9094411..9095008,9095066..9095333,9095395..9095975,9096766..9096825,9097355..9097519,9097756..9098007,9098084..9098413,9099314..9099461,9101096..9101419,9101566..9102233,9102495..9103071));	4077	CG7766
CG7766-PC	X:complement(join(9094243..9094348,9094411..9095008,9095066..9095333,9095395..9095825,9096766..9096825,9097355..9097513,9097756..9098007,9098084..9098413,9100513..9100657,9101096..9101419,9101566..9102233,9102495..9103071));	3918	CG7766
CG7766-PD	X:complement(join(9094243..9094348,9094411..9095008,9095066..9095333,9095395..9095651,9097355..9097513,9097756..9098007,9098084..9098413,9100513..9100657,9101096..9101419,9101566..9102233,9102495..9103071));	3684	CG7766
CG7766-PI	X:complement(join(9094243..9094348,9094411..9095008,9095066..9095333,9095395..9095651,9097355..9097459,9097756..9098007,9098084..9098413,9099314..9099461,9101096..9101419,9101566..9102233,9102495..9103071));	3633	CG7766
CG7246-PA	X:complement(join(9078947..9079174,9079246..9080430,9080495..9080798,9080856..9080947));	1809	CG7246
CG10970-PA	X:complement(9069754..9070065);	312	CG10970
CG15365-PA	X:complement(join(9055047..9055967,9056024..9056341,9056447..9056588,9056654..9056786,9057008..9057350,9057458..9058066));	2466	CG15365
CG15365-PB	X:complement(join(9055047..9055967,9056024..9056341,9056426..9056588,9056654..9056786,9057008..9057350,9057458..9058066));	2487	CG15365
BCL7-like-PA	X:join(9356920..9357265,9357563..9357681);	465	BCL7
RpS28b-PA	X:9554710..9554907;	198	RpS28b
Hex-A-PA	X:9586219..9587844;	1626	Hex
Hex-A-PB	X:9586498..9587844;	1347	Hex
Gga-PB	X:join(9601140..9601176,9601254..9601411,9602081..9602675,9602745..9603724,9603801..9604013);	1983	Gga
LysRS-PA	X:complement(join(9606473..9606553,9606620..9607567,9607629..9608292,9608719..9608750));	1725	LysRS
LysRS-PB	X:complement(join(9606473..9606553,9606620..9607567,9607629..9608292,9608422..9608552));	1824	LysRS
LPCAT-PB	X:complement(join(9573008..9573117,9573185..9573326,9573404..9573505,9573579..9573855,9574132..9574269,9574347..9574832,9574901..9575046,9579482..9579682));	1602	LPCAT
Cubn-PB	X:complement(join(9558761..9559014,9559073..9559748,9559819..9561612,9561675..9562172,9562241..9564567,9564627..9565308,9565376..9565740,9565841..9566003,9566070..9567806,9567876..9568571,9568638..9569390,9569456..9570208,9570454..9570637,9570873..9571148,9571214..9571308));	11253	Cubn
CG15317-PA	X:complement(join(9555782..9556115,9556175..9556246,9556301..9556476));	582	CG15317
l(1)G0320-PA	X:complement(join(9551939..9552783,9553452..9553515));	909	l(1)G0320
btd-PA	X:join(9694674..9695407,9695847..9697047);	1935	btd
Sp1-PB	X:9753707..9755269;	1563	Sp1
Sp1-PD	X:join(9730564..9730677,9753001..9753320,9753556..9755269);	2148	Sp1
Sp1-PE	X:join(9730564..9730677,9753001..9753320,9753541..9755269);	2163	Sp1
Sp1-PF	X:join(9730564..9730677,9753001..9753320,9753556..9755302);	2181	Sp1
CARPB-PA	X:join(9812099..9812156,9832492..9832542,9836314..9836450,9836594..9836806,9845701..9845796,9845959..9846180,9848532..9848715,9848901..9848923);	984	CARPB
Idgf4-PA	X:complement(join(9928408..9929057,9929172..9929732,9930355..9930472));	1329	Idgf4
CG3106-PA	X:complement(join(9659203..9659478,9659543..9660199,9660286..9660815,9660881..9660954,9661022..9661424,9662363..9662651));	2229	CG3106
CG1889-PA	X:join(9965350..9965460,9965586..9965770,9965837..9966397,9966458..9966599);	999	CG1889
CG1889-PD	X:join(9965350..9965460,9965586..9965770,9965819..9966397,9966458..9966599);	1017	CG1889
CG1889-PE	X:join(9965350..9965460,9965586..9965774);	300	CG1889
CG32694-PB	X:join(9993046..9993189,9999193..9999300,10000352..10001194);	1095	CG32694
CG32694-PA	X:join(9993046..9993189,9999193..9999300,10004392..10004759,10005154..10005289,10005375..10005602,10005673..10005738);	1050	CG32694
CG32694-PH	X:join(9993046..9993189,9999193..9999300,9999544..9999795);	504	CG32694
CG32694-PE	X:join(9993046..9993189,9999193..9999300,10001854..10002165);	564	CG32694
CG32694-PF	X:join(9993046..9993189,9999193..9999300,10004392..10004759,10005169..10005289,10005375..10005602,10005673..10005738);	1035	CG32694
CG32694-PG	X:join(9993046..9993189,9999193..9999300,10000352..10000676,10001101..10001111);	588	CG32694
CG2990-PB	X:join(10010571..10011116,10011174..10012211,10012271..10013989);	3303	CG2990
CG2990-PC	X:join(10010571..10011113,10011174..10012211,10012271..10013989);	3300	CG2990
Yp1-PA	X:join(10053917..10054136,10054214..10055313);	1320	Yp1
Gr9a-PA	X:join(10061627..10062433,10062496..10062648,10062720..10062785);	1026	Gr9a
CG15312-PB	X:complement(join(10057244..10057665,10060448..10060577,10060667..10061146,10061212..10061348,10070142..10070205));	1233	CG15312
CG15312-PD	X:complement(join(10057296..10057729,10059691..10059840,10060448..10060577,10060667..10061146,10061212..10061348,10070142..10070205));	1395	CG15312
CG15312-PE	X:complement(join(10057296..10057729,10060448..10060577,10060667..10061146,10061212..10061348,10070142..10070205));	1245	CG15312
Yp2-PA	X:complement(join(10051187..10052280,10052349..10052583));	1329	Yp2
CG15252-PB	X:complement(join(9978205..9978594,9978846..9978989,9979049..9979117,9979172..9979381,9979499..9979618,9979767..9980537));	1704	CG15252
CG15252-PC	X:complement(join(9978205..9978594,9978720..9978779,9978846..9978989,9979049..9979117,9979172..9979381,9979499..9979618,9979767..9980537));	1764	CG15252
CG1791-PA	X:complement(join(9963523..9963664,9963725..9964294,9964366..9964479,9964538..9964584,9964643..9964774));	1005	CG1791
CG1791-PB	X:complement(join(9963523..9963664,9963725..9964170));	588	CG1791
CG1791-PC	X:complement(join(9963523..9963664,9963725..9964294,9964369..9964479,9964538..9964584,9964643..9964774));	1002	CG1791
CG2972-PA	X:join(10083248..10083322,10083382..10084725);	1419	CG2972
CG12645-PB	X:join(10153612..10153945,10154003..10154150,10154385..10154523);	621	CG12645
CG12645-PC	X:join(10153612..10153933,10154003..10154150,10154385..10154523);	609	CG12645
ATPsyndelta-PA	X:join(10213287..10213485,10213560..10213771,10214099..10214161);	474	ATPsyndelta
CG2909-PA	X:join(10326618..10326794,10326859..10327003,10327066..10328072,10328412..10328600);	1518	CG2909
CG17841-PA	X:join(10368356..10368759,10381659..10382109,10382181..10382510,10382582..10382686);	1290	CG17841
CG2898-PA	X:10375498..10376553;	1056	CG2898
flw-PA	X:join(10386512..10386563,10388443..10388835,10406353..10406700,10406762..10407105,10407166..10407300,10407366..10407479);	1386	flw
flw-PB	X:join(10386512..10386563,10406353..10406700,10406762..10407105,10407166..10407300,10407366..10407479);	993	flw
flw-PD	X:join(10386512..10386563,10406353..10406700,10406762..10407105,10407166..10407300,10407366..10407506);	1020	flw
RabX2-PA	X:10417496..10418083;	588	RabX2
CG2889-PA	X:join(10475018..10475140,10475202..10475622,10475681..10476125,10476183..10476395,10476608..10477151);	1746	CG2889
PPP4R2r-PA	X:join(10479501..10479717,10479836..10480024,10480084..10481507);	1830	PPP4R2r
PPP4R2r-PD	X:join(10479880..10480024,10480084..10481507);	1569	PPP4R2r
CG32687-PA	X:complement(join(10482860..10483240,10483342..10483558,10485711..10486246));	1134	CG32687
CG2887-PA	X:complement(10477395..10478423);	1029	CG2887
Or9a-PA	X:complement(join(10458186..10458239,10458415..10458936,10459012..10459277,10459340..10459676));	1179	Or9a
CG32683-PA	X:complement(join(10412794..10413831,10420831..10421067,10421133..10421530,10424807..10424954,10427098..10427218,10427320..10427517,10452157..10452431));	2415	CG32683
CG12640-PA	X:complement(10432465..10432812);	348	CG12640
Psf3-PA	X:complement(join(10384286..10384426,10384488..10384882,10384951..10385053));	639	Psf3
CG32681-PA	X:complement(10376736..10381256);	4521	CG32681
CG32686-PA	X:complement(10371925..10374084);	2160	CG32686
CG32686-PB	X:complement(10371925..10375173);	3249	CG32686
CG32679-PA	X:complement(join(10366510..10366762,10366818..10367197,10367330..10367461));	765	CG32679
l(1)G0289-PA	X:complement(join(10357745..10357813,10358086..10358504,10358563..10358635,10358700..10358851,10358918..10359127,10359297..10360163,10366124..10366211));	1878	l(1)G0289
CG15306-PA	X:complement(10330386..10331459);	1074	CG15306
Gip-PA	X:complement(10328968..10329762);	795	Gip
CG12643-PA	X:complement(10264841..10265074);	234	CG12643
Ipod-PA	X:complement(join(10231181..10232224,10232294..10232299));	1050	Ipod
CG15308-PB	X:complement(join(10218096..10218377,10219073..10219078));	288	CG15308
CG15308-PC	X:complement(10218096..10218344);	249	CG15308
CG2962-PA	X:complement(join(10214997..10216121,10216549..10216554));	1131	CG2962
CG15309-PA	X:complement(10207231..10207575);	345	CG15309
Naxe-PB	X:complement(join(10085180..10085402,10085461..10085930));	693	Naxe
ZAP3-PC	X:complement(join(10072230..10072388,10072570..10072685,10072749..10072800,10073301..10073411,10073877..10074065,10074138..10074326,10074394..10074895,10074976..10075070,10075144..10075627,10078486..10081871,10081933..10082304));	5655	ZAP3
ZAP3-PD	X:complement(join(10072788..10072800,10073301..10073411,10078486..10081871,10081933..10082304));	3882	ZAP3
ZAP3-PE	X:complement(join(10072230..10072388,10072570..10072685,10072749..10072800,10073301..10073411,10073877..10074065,10074138..10074326,10074394..10074895,10074976..10075073,10075144..10075627,10078486..10081871,10081933..10082304));	5658	ZAP3
ZAP3-PF	X:complement(join(10077350..10077368,10078486..10081871,10081933..10082304));	3777	ZAP3
Rab9D-PA	X:10589182..10589775;	594	Rab9D
CG2124-PA	X:join(10596250..10598049,10598316..10598405);	1890	CG2124
CG2111-PA	X:join(10657689..10658296,10658362..10659793,10659861..10660354,10660410..10660671);	2796	CG2111
X11Lbeta-PA	X:join(10699273..10701121,10701804..10702001,10702454..10702833,10702899..10703462,10703564..10704095,10704154..10704675,10704757..10706013,10706952..10707082,10707817..10707822,10708067..10708834,10708896..10709036,10709088..10709159);	6420	X11Lbeta
X11Lbeta-PD	X:join(10699273..10701121,10702454..10702833,10702899..10703462,10703564..10704095,10704154..10704675,10704757..10705998,10706952..10707082,10708067..10708834,10708896..10709036,10709088..10709159);	6201	X11Lbeta
X11Lbeta-PE	X:join(10699273..10701121,10701804..10702001,10702454..10702833,10702899..10703462,10703573..10704095,10704154..10704675,10704757..10705998,10706952..10707082,10708067..10708834,10708896..10709036,10709088..10709159);	6390	X11Lbeta
ras-PC	X:join(10745820..10745983,10746076..10746226,10746421..10747072,10747486..10748026,10748098..10748203);	1614	ras
ras-PF	X:join(10745820..10745983,10746076..10746226,10746421..10747072,10747486..10748026,10748098..10748362);	1773	ras
BTBD9-PA	X:join(10768721..10769293,10769348..10769986,10770055..10770501,10770563..10771072);	2169	BTBD9
Atg8a-PA	X:complement(join(10765458..10765535,10765605..10765802,10767981..10768070));	366	Atg8a
Atg8a-PB	X:complement(join(10765458..10765535,10765605..10765802,10767153..10767167));	291	Atg8a
Atg8a-PC	X:complement(join(10765458..10765535,10765605..10765802,10766330..10766377));	324	Atg8a
Tango5-PB	X:complement(join(10760486..10760992,10761203..10761509,10761578..10761859,10761915..10762105));	1287	Tango5
Tango5-PA	X:complement(join(10760486..10760992,10761203..10761509,10761578..10761859,10761915..10762411));	1593	Tango5
Rph-PA	X:complement(join(10749791..10750094,10750156..10750370,10750926..10751782,10753213..10753676,10757395..10757471));	1917	Rph
Rph-PB	X:complement(join(10749791..10750094,10750156..10750370,10750926..10751612));	1206	Rph
Rph-PC	X:complement(join(10749705..10750094,10750156..10750362,10750926..10751782,10753213..10753321));	1563	Rph
stx-PA	X:complement(join(10714399..10715139,10715200..10717392,10726919..10727006,10743803..10744149));	3369	stx
CG12637-PA	X:complement(10672490..10673368);	879	CG12637
Rab9E-PA	X:complement(10661165..10661758);	594	Rab9E
CG9806-PA	X:complement(join(10623901..10624156,10624211..10624707,10624955..10625671,10625736..10626128,10626185..10626464,10626518..10627110));	2736	CG9806
Rab9Db-PA	X:complement(10622565..10623158);	594	Rab9Db
CG1628-PB	X:complement(join(10598643..10598934,10599191..10599296,10601043..10601715,10602254..10602562));	1380	CG1628
CG1628-PC	X:complement(join(10598643..10598934,10599191..10599296,10601043..10601562));	918	CG1628
Hmr-PB	X:complement(join(10591111..10591499,10591557..10592252,10592312..10592653,10592712..10595477,10595544..10595592));	4242	Hmr
CG15296-PA	X:complement(10565979..10566488);	510	CG15296
CG15225-PB	2R:20793009..20793686;	678	CG15225
CAH14-PB	2R:20866089..20866976;	888	CAH14
Ipk1-PA	2R:join(20871672..20872005,20872540..20872692,20873651..20873751,20875238..20875546,20875605..20875663,20876475..20876621,20877255..20877312,20877619..20878323);	1866	Ipk1
Ipk1-PB	2R:join(20871672..20872005,20872540..20872692,20873651..20873751,20875238..20875546,20875605..20875663,20876475..20876621,20877255..20877312,20877619..20878221,20878672..20878898,20878968..20879127);	2151	Ipk1
Ipk1-PD	2R:join(20874829..20874996,20875238..20875546,20875605..20875663,20876475..20876621,20877255..20877312,20877619..20878221,20878672..20878898,20878968..20879127);	1731	Ipk1
Ipk1-PC	2R:join(20871672..20872005,20872540..20872692,20873651..20873751,20875238..20875546,20875605..20875663,20876475..20876621,20877255..20877312,20877619..20878221,20878672..20878898,20878971..20879127);	2148	Ipk1
Cib2-PB	2R:join(20880049..20880099,20880178..20880212,20880761..20880903,20881028..20881150,20882188..20882405);	570	Cib2
CAH15-PA	2R:20909756..20910754;	999	CAH15
Rx-PB	2R:join(20917049..20917417,20918457..20918609,20922459..20923580,20923755..20923921,20935683..20935848,20936037..20936773);	2714	Rx
CG9344-PA	2R:join(20977155..20977245,20977317..20977465);	240	CG9344
CG10543-PA	2R:join(20996890..20996928,21001012..21002426,21002491..21003325,21003393..21003525,21003640..21004094,21004153..21004261,21004327..21006245);	4905	CG10543
CG10543-PD	2R:join(21000801..21000830,21001012..21002426,21002491..21003325,21003393..21003525,21003640..21004094,21004153..21004261,21004327..21006245);	4896	CG10543
CG10543-PF	2R:join(20996890..20996928,21001012..21002426,21002491..21003325,21003393..21003525,21003640..21004094,21004153..21004261,21004324..21006245);	4908	CG10543
CG9346-PA	2R:join(21012046..21012102,21012162..21012278,21012335..21012621,21012679..21013097,21013158..21013339,21013402..21013445,21013513..21013845,21013913..21014155,21014210..21014393,21014453..21014705,21014766..21015127,21015188..21015580);	2874	CG9346
RIC-3-PD	2R:join(21019387..21019582,21020087..21020241,21020993..21021133,21021191..21021317,21021886..21022133,21023434..21023586,21023662..21023754,21023976..21024125,21024183..21024317);	1398	RIC
RIC-3-PC	2R:join(21019387..21019582,21019740..21019859,21020087..21020241,21020993..21021133,21021191..21021317,21021886..21022133,21023434..21023586,21023662..21023754,21023976..21024125,21024183..21024317);	1518	RIC
RIC-3-PE	2R:join(21019387..21019582,21019740..21019859,21020087..21020241,21020993..21021133,21021191..21021317,21021501..21021521,21021886..21022133,21023434..21023586,21023976..21024125,21024183..21024317);	1446	RIC
RIC-3-PH	2R:join(21019387..21019582,21019740..21019859,21020087..21020241,21020993..21021133,21021191..21021317,21023065..21023165,21023434..21023586,21023662..21023754,21023976..21024125,21024183..21024317);	1371	RIC
RIC-3-PI	2R:join(21019387..21019582,21020087..21020241,21020993..21021133,21021191..21021317,21021501..21021521,21023065..21023165,21023434..21023586,21023662..21023754,21023976..21024125,21024183..21024317);	1272	RIC
RIC-3-PJ	2R:join(21019387..21019582,21020087..21020241,21020993..21021133,21021191..21021317,21021501..21021521,21021886..21022133,21023434..21023586,21023662..21023754,21023976..21024125,21024183..21024317);	1419	RIC
RIC-3-PK	2R:join(21019387..21019582,21020087..21020241,21020993..21021133,21021191..21021317,21021501..21021521,21023065..21023165,21023434..21023586,21023976..21024125,21024183..21024317);	1179	RIC
RIC-3-PL	2R:join(21019387..21019582,21020087..21020241,21020993..21021133,21021191..21021317,21021501..21021521,21021886..21022133,21023434..21023586,21023976..21024125,21024183..21024317);	1326	RIC
RIC-3-PM	2R:join(21019387..21019582,21019740..21019859,21020087..21020241,21020993..21021133,21021191..21021317,21023065..21023165,21023434..21023586,21023976..21024125,21024183..21024317);	1278	RIC
RIC-3-PN	2R:join(21019387..21019582,21019740..21019859,21020087..21020241,21020993..21021133,21021191..21021317,21021886..21022133,21023434..21023586,21023976..21024125,21024183..21024317);	1425	RIC
RIC-3-PO	2R:join(21019387..21019582,21020087..21020241,21020993..21021133,21021191..21021317,21023065..21023165,21023434..21023586,21023662..21023754,21023976..21024125,21024183..21024317);	1251	RIC
RIC-3-PP	2R:join(21019387..21019582,21020087..21020241,21020993..21021133,21021191..21021317,21023065..21023165,21023434..21023586,21023976..21024125,21024183..21024317);	1158	RIC
RIC-3-PQ	2R:join(21019387..21019582,21020087..21020241,21020993..21021133,21021191..21021317,21021886..21022133,21023434..21023586,21023976..21024125,21024183..21024317);	1305	RIC
RIC-3-PT	2R:join(21019387..21019582,21019740..21019859,21020087..21020241,21020993..21021133,21021191..21021317,21021886..21022133,21022334..21022375);	1029	RIC
RIC-3-PV	2R:join(21019387..21019582,21019740..21019859,21020087..21020241,21020993..21021133,21021191..21021317,21021886..21022133,21023065..21023088);	1011	RIC
ND-B14.7-PA	2R:join(21025347..21025603,21025661..21025755,21025816..21025976);	513	ND
cpa-PA	2R:join(21058022..21058262,21058384..21058553,21058612..21059061);	861	cpa
mRpL54-PA	2R:join(21060913..21061015,21061073..21061206,21061267..21061428);	399	mRpL54
Cht8-PA	2R:join(21061648..21061732,21061793..21062249,21062309..21063197);	1431	Cht8
Treh-PE	2R:join(21077090..21077139,21085198..21085387,21085448..21086725,21086790..21086954);	1683	Treh
Treh-PB	2R:join(21085283..21085387,21085448..21086725,21086790..21086954);	1548	Treh
Treh-PC	2R:join(21084541..21084698,21085198..21085387,21085448..21086725,21086790..21086954);	1791	Treh
CG10527-PA	2R:complement(join(21070582..21071060,21071402..21071803,21072725..21072734));	891	CG10527
Cht9-PA	2R:complement(join(21068032..21068635,21068698..21069139,21069212..21069272));	1107	Cht9
Cht4-PA	2R:complement(join(21065434..21066095,21066152..21066360,21066416..21066686,21066749..21066925,21066989..21067058));	1389	Cht4
Cht12-PA	2R:complement(join(21063247..21064147,21064206..21064473,21064525..21064701,21064754..21064820));	1413	Cht12
CG15653-PA	2R:complement(join(21059899..21060122,21060180..21060468));	513	CG15653
shg-PA	2R:complement(join(21050806..21054702,21055847..21056473));	4524	shg
CG3295-PA	2R:complement(21015902..21017200);	1299	CG3295
grau-PA	2R:complement(join(21009869..21010105,21010169..21010544,21010607..21010816,21010879..21011645,21011723..21011845));	1713	grau
CG30291-PA	2R:complement(join(21007802..21008307,21008362..21009204,21009256..21009430,21009493..21009498));	1530	CG30291
dgt3-PB	2R:complement(join(20992329..20992472,20992537..20992714,20992774..20993439,20993501..20993863,20993926..20994254,20994306..20994323));	1698	dgt3
CG3216-PC	2R:complement(join(20986833..20987667,20987729..20988053,20988112..20988755,20988813..20988891,20988956..20989071,20989134..20989689,20989746..20990022,20990123..20990200,20990479..20990644,20990710..20990821,20990874..20991171));	3486	CG3216
CG3216-PD	2R:complement(join(20986833..20987667,20987729..20988053,20988112..20988755,20989134..20989689,20989746..20990022,20990123..20990200,20990479..20990644,20990710..20990821,20990874..20991171));	3291	CG3216
CG15651-PA	2R:complement(join(20984368..20985231,20985289..20985405,20985465..20986202));	1719	CG15651
CG15650-PA	2R:complement(join(20977728..20978126,20978199..20978237));	438	CG15650
hbn-PA	2R:complement(join(20954914..20955461,20955688..20955775,20958260..20958389,20958539..20958845,20960431..20960587));	1230	hbn
otp-PC	2R:complement(join(20884492..20884761,20885202..20885368,20886523..20886727,20895711..20895866,20896475..20896492));	816	otp
otp-PE	2R:complement(join(20884492..20884761,20885202..20885368,20886281..20886406,20886523..20886727,20895711..20895845,20896475..20896770,20902028..20902058));	1230	otp
otp-PF	2R:complement(join(20884492..20884761,20885202..20885368,20886281..20886406,20886523..20886727,20895711..20895866,20896475..20896492));	942	otp
otp-PG	2R:complement(join(20884492..20884761,20885202..20885368,20886523..20886727,20895711..20895845,20896475..20896492));	795	otp
otp-PH	2R:complement(join(20884492..20884761,20885202..20885368,20886281..20886406,20886523..20886727,20895711..20895845,20896475..20896492));	921	otp
otp-PI	2R:complement(join(20884492..20884761,20885202..20885368,20886523..20886727,20895711..20895845,20896475..20896770,20902028..20902058));	1104	otp
otp-PJ	2R:complement(join(20884492..20884761,20885202..20885368,20886523..20886727,20895711..20895866,20896475..20896770,20902028..20902058));	1125	otp
otp-PK	2R:complement(join(20884492..20884761,20885202..20885368,20886281..20886406,20886523..20886727,20895711..20895866,20896475..20896770,20902028..20902058));	1251	otp
otp-PL	2R:complement(join(20884450..20884761,20885202..20885368,20886523..20886727,20895711..20895845,20896475..20896770,20902028..20902058));	1146	otp
IM4-PA	2R:complement(join(20869070..20869122,20869182..20869257));	129	IM4
CG9993-PA	2R:complement(join(20850239..20851208,20851267..20851386,20851449..20851647,20851706..20852048));	1632	CG9993
CG17999-PA	2R:complement(join(20847997..20848972,20849111..20849233,20849296..20849488,20849558..20849903));	1638	CG17999
insc-PA	2R:complement(join(20822208..20822762,20823192..20824967,20825302..20825550));	2580	insc
sktl-PA	2R:complement(20827992..20830370);	2379	sktl
CG9394-PA	2R:21118609..21120648;	2040	CG9394
mago-PA	2R:join(21128694..21128954,21129013..21129195);	444	mago
CG9406-PA	2R:join(21142475..21142487,21142546..21142783,21142836..21143046,21143099..21143197);	561	CG9406
Xbp1-PD	2R:join(21143877..21144136,21144201..21144864);	924	Xbp1
Xbp1-PE	2R:join(21143877..21144136,21144201..21144505,21144529..21145460);	1497	Xbp1
Hmg-2-PA	2R:join(21146301..21146704,21146764..21147490);	1131	Hmg
hng1-PA	2R:21168997..21169944;	948	hng1
Pu-PB	2R:join(21175475..21175673,21179938..21180147,21181420..21181585,21181645..21181761,21181836..21181965);	822	Pu
Pu-PC	2R:join(21179293..21179596,21179938..21180147,21181420..21181585,21181645..21181761,21181836..21181965);	927	Pu
Pu-PA	2R:join(21179293..21179644,21179938..21180147,21181420..21181585,21181645..21181761,21181836..21181965);	975	Pu
tud-PA	2R:join(21184086..21184454,21184518..21185021,21185075..21185908,21185969..21187047,21187103..21187932,21188025..21188256,21188374..21188573,21188627..21192126);	7548	tud
tud-PB	2R:join(21184086..21184454,21184518..21185021,21185075..21185908,21185969..21187047,21187112..21187932,21188025..21188256,21188374..21188573,21188627..21192126);	7539	tud
Lapsyn-PA	2R:join(21197611..21197793,21198021..21198164,21198230..21198434,21198492..21198677,21198762..21198917,21198975..21199132);	1032	Lapsyn
MFS16-PA	2R:join(21283079..21283212,21283331..21283482,21283543..21284111,21284382..21284592,21284650..21284798,21284855..21285226);	1587	MFS16
MFS16-PB	2R:join(21282543..21282564,21282987..21283212,21283331..21283482,21283543..21284111,21284382..21284592,21284650..21284798,21284855..21285226);	1701	MFS16
RpL29-PA	2R:join(21294060..21294161,21294231..21294359);	231	RpL29
dom-PD	2R:join(21324200..21324810,21324870..21325173,21325392..21325647,21327419..21328219,21328440..21329661,21329903..21330089,21331120..21331256,21331334..21331520,21331750..21333846,21334374..21334592,21337428..21337463,21337525..21340620,21340684..21341076,21341420..21341425);	9552	dom
dom-PA	2R:join(21324200..21324810,21324870..21325173,21325392..21325647,21327419..21328219,21328440..21329661,21329903..21330089,21331120..21331256,21331334..21331520,21331750..21333846,21334374..21334592,21337428..21337463,21337525..21340620,21340684..21341127);	9597	dom
dom-PE	2R:join(21324200..21324810,21324870..21325173,21325392..21325647,21327419..21328219,21328440..21329661,21329903..21330089,21331120..21331256,21331334..21331520,21331750..21333846,21334374..21336065);	7494	dom
dom-PG	2R:join(21324200..21324810,21324870..21325173,21325392..21325647,21326190..21326294,21327419..21328219,21328440..21329661,21329903..21330089,21331120..21331256,21331334..21331520,21331750..21333846,21334374..21334592,21337428..21337463,21337525..21340620,21340684..21341127);	9702	dom
BBS9-PD	2R:join(21341985..21342238,21342297..21342770,21342829..21342962,21343021..21343694,21343758..21344258,21344311..21344477,21344820..21344949,21345009..21345548);	2874	BBS9
Acox57D-p-PA	2R:join(21386682..21386823,21386915..21387077,21387142..21387434,21387498..21387903,21387965..21388577,21388651..21388806,21388871..21389131);	2034	Acox57D
Acox57D-d-PA	2R:join(21389499..21389640,21390059..21390221,21390283..21390575,21390638..21391043,21391098..21391604,21391661..21391766,21391840..21391995,21392055..21392315);	2034	Acox57D
eEFSec-PA	2R:complement(join(21384559..21385835,21385893..21386151));	1536	eEFSec
CG10795-PA	2R:complement(join(21383561..21383837,21383903..21384162));	537	CG10795
CG10795-PB	2R:complement(join(21383486..21383837,21383903..21384162));	612	CG10795
